fips,age_adjusted
37053,862.4
37055,762.1
37057,894.9
37059,777.2
37061,839.9
37063,756.2
37065,992.5
37067,817.2
37069,832.4
37071,977.2
37073,886.5
37075,876.9
37077,847.2
37079,873.4
37081,788.6
37083,981.4
37085,890.6
37087,822.6
37089,747.6
37091,927.9
37093,936
37095,871.6
37097,867.1
37099,792.7
37101,855.2
37103,904.6
37105,873.4
37107,1003.8
37109,883.3
37111,843.4
37113,790.5
37115,835.7
37117,1068.6
37119,732
37121,916.7
37123,857.9
37125,717
37127,946.2
37129,754.1
37131,899.1
37133,854.3
37135,674.1
37137,797.6
37139,904
37141,810.1
37143,805.9
37145,899.8
37147,838
37149,746.4
37151,883.2
37153,1053.8
37155,1053.2
37157,945.3
37159,932.6
37161,948.2
37163,926.6
37165,989
37167,915.8
37169,866.8
37171,909
37173,1088
37175,684
37177,833.7
37179,768.6
37181,995.3
37183,664.2
37185,831.1
37187,899.7
37189,668.5
37191,931.7
37193,864.3
37195,917.7
37197,880.3
37199,801.8
38001,712.1
38003,758.3
38005,1024.3
38007,433.4
38009,763.7
38011,770.9
38013,700.9
38015,660
38017,674
38019,674.3
38021,734.4
38023,632
38025,715.3
38027,932.5
38029,710.9
38031,764
38033,562.2
38035,749.8
